Entity,Code,Year,Statin use
Algeria,DZA,2019,108.9
Algeria,DZA,2020,111.6
Argentina,ARG,2019,108.7
Argentina,ARG,2020,130.2
Australia,AUS,2019,327.5
Australia,AUS,2020,265.2
Austria,AUT,2019,223.5
Austria,AUT,2020,190.8
Bangladesh,BGD,2019,20.9
Bangladesh,BGD,2020,24.9
Belarus,BLR,2019,55
Belarus,BLR,2020,51
Belgium,BEL,2019,271.5
Belgium,BEL,2020,243
Brazil,BRA,2019,107
Brazil,BRA,2020,112
Bulgaria,BGR,2019,94
Bulgaria,BGR,2020,90.8
Canada,CAN,2019,322.9
Canada,CAN,2020,314.3
Chile,CHL,2019,45.5
Chile,CHL,2020,50.6
China,CHN,2019,16.2
China,CHN,2020,18.3
Colombia,COL,2019,14.3
Colombia,COL,2020,17.3
Croatia,HRV,2019,156.5
Croatia,HRV,2020,158.3
Czechia,CZE,2019,241.7
Czechia,CZE,2020,248.3
Denmark,DNK,2019,331.7
Denmark,DNK,2020,326.1
Dominican Republic,DOM,2019,44.7
Dominican Republic,DOM,2020,44.7
Ecuador,ECU,2019,18.1
Ecuador,ECU,2020,22.3
Egypt,EGY,2019,51.4
Egypt,EGY,2020,53.3
Estonia,EST,2019,174.5
Estonia,EST,2020,148.9
Finland,FIN,2019,253
Finland,FIN,2020,243.2
France,FRA,2019,145.8
France,FRA,2020,141.8
Germany,DEU,2019,180.6
Germany,DEU,2020,160.6
Greece,GRC,2019,250.5
Greece,GRC,2020,253.7
Hungary,HUN,2019,192.9
Hungary,HUN,2020,175
India,IND,2019,13.7
India,IND,2020,14.3
Indonesia,IDN,2019,10.9
Indonesia,IDN,2020,8.9
Ireland,IRL,2019,280.3
Ireland,IRL,2020,257.8
Italy,ITA,2019,144.7
Italy,ITA,2020,135.1
Japan,JPN,2019,53.2
Japan,JPN,2020,54.1
Jordan,JOR,2019,28.7
Jordan,JOR,2020,24.1
Kazakhstan,KAZ,2019,22.8
Kazakhstan,KAZ,2020,22.9
Latvia,LVA,2019,193.1
Latvia,LVA,2020,174.8
Lebanon,LBN,2019,201.9
Lebanon,LBN,2020,232.4
Lithuania,LTU,2019,113.8
Lithuania,LTU,2020,106
Luxembourg,LUX,2019,198.1
Luxembourg,LUX,2020,176.2
Malaysia,MYS,2019,65.9
Malaysia,MYS,2020,53.7
Mexico,MEX,2019,28.4
Mexico,MEX,2020,23.8
Morocco,MAR,2019,15.5
Morocco,MAR,2020,15.1
Netherlands,NLD,2019,248.8
Netherlands,NLD,2020,237.9
New Zealand,NZL,2019,275.3
New Zealand,NZL,2020,243.6
Norway,NOR,2019,304.7
Norway,NOR,2020,274.4
Pakistan,PAK,2019,20.4
Pakistan,PAK,2020,19.4
Peru,PER,2019,5.9
Peru,PER,2020,10.3
Philippines,PHL,2019,23.2
Philippines,PHL,2020,21.3
Poland,POL,2019,241.2
Poland,POL,2020,202.5
Portugal,PRT,2019,205.4
Portugal,PRT,2020,184.8
Romania,ROU,2019,141.6
Romania,ROU,2020,125.4
Russia,RUS,2019,58.6
Russia,RUS,2020,66.2
Serbia,SRB,2019,85.1
Serbia,SRB,2020,78.7
Singapore,SGP,2019,96.6
Singapore,SGP,2020,93.4
Slovakia,SVK,2019,175.5
Slovakia,SVK,2020,155.2
Slovenia,SVN,2019,250.8
Slovenia,SVN,2020,256.1
South Africa,ZAF,2019,83.9
South Africa,ZAF,2020,87.8
South Korea,KOR,2019,90.5
South Korea,KOR,2020,91.4
Spain,ESP,2019,188.6
Spain,ESP,2020,180.1
Sri Lanka,LKA,2019,44.5
Sri Lanka,LKA,2020,50
Sweden,SWE,2019,265
Sweden,SWE,2020,255.5
Switzerland,CHE,2019,202.8
Switzerland,CHE,2020,170.1
Taiwan,TWN,2019,87
Taiwan,TWN,2020,86.8
Thailand,THA,2019,102.6
Thailand,THA,2020,92.9
Tunisia,TUN,2019,76.5
Tunisia,TUN,2020,52.7
Turkey,TUR,2019,65
Turkey,TUR,2020,73.1
Ukraine,UKR,2019,32.1
Ukraine,UKR,2020,26.1
United Arab Emirates,ARE,2019,92.7
United Arab Emirates,ARE,2020,77.8
United Kingdom,GBR,2019,324.5
United Kingdom,GBR,2020,308.8
United States,USA,2019,271.6
United States,USA,2020,271.2
Uruguay,URY,2019,116.1
Uruguay,URY,2020,118.1
Venezuela,VEN,2019,14.5
Venezuela,VEN,2020,14.4
Vietnam,VNM,2019,23.3
Vietnam,VNM,2020,17.2
